{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.8982234087089296 -1.2182665786218934
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.3528618702795825 0.6372112655108566
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.7012354220214547 0.39743334465906344
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.8136049530672835 -0.2897359499619512
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.7577472395020095 0.541199053609887
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -0.31705742604589204 0.24207297282281104
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.8727008917894068 0.15836874753208008
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.3068082808514987 -0.5841767207659245
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.843470900579348 -0.8589937223246693
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.818770284741106 -0.33114720022847166
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -3.814146761660936 -1.7469672452454859
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -4.267606603996285 -0.6629127613695118
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.6414331073423227 -0.5527201403209432
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.378565540193506 -0.348301366970972
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.878083715918706 -1.500167984641891
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3289870920891644 0.058283066063793854
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.8247593984593777 -1.803258078743042
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.7664376684033414 -2.1658664441735027
{'forward': 0.6, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.4060494023111971 -1.778294324318253
{'forward': 0.6, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.87551835975043 -1.420614937125535
