{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.082681035407963 -1.1948110460044745 0.35345384950575465
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.152563680597998 1.1827675828371866 2.525751402590558
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.236017859700839 0.419664301815601 -0.050990476124610495
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.3066119729836334 -1.452202299082785 1.241110286020458
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.398284754243946 -1.0154986562856152 2.009887178711807
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.477815997280622 0.3594069147574146 2.477466225868156
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.5709576268433567 0.7632480577948968 1.9138176365393207
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.642198560701628 -0.2943781414087425 2.300844312807058
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.7252446070486442 -1.1409737124826052 0.7339738852667494
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.833804769020114 -0.9483054125642525 2.601006896419676
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.9048946430859086 -0.7949162357982118 1.03029224850971
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 2.9896908394641546 0.6669209831497938 1.0502380375153848
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} 3.0675042633632135 -3.4131637124513645 0.8341870640848583
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.113495151393202 -3.552112069109512 -0.5892209027204274
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -3.0149923902755007 -0.9695509191232077 0.2301441408897631
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.945558865806088 -3.017994651979336 1.8556510037186342
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.8726217321294594 -2.264460360261694 0.36092787477571164
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.7686621731793575 -0.9918799868254382 0.1674344682203639
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.662792307600032 -3.7905364793958825 0.13743152166276218
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.5819007189673258 -2.9880571011268557 -0.13328903708332973
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.655734449669346 -2.3996817947353293 1.407270095441163
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.552854306340294 -0.688472354704686 3.0016870895854595
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.4676414062494896 -1.236841153493117 -1.342236337853791
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.5283249875812657 -3.454176940269292 -0.713052181746292
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.449527321957137 -0.46783037785189663 -1.123561362806356
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.3621858806093536 -1.8400486053562304 0.23437001155269854
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.4440369452732567 -2.568332960717669 -1.5001117482372592
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.3615789846415893 -2.515066692570599 -2.417622116870774
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.2651963315325783 -3.3496521727969935 -0.8102716136586992
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.350821497677504 -1.9714603879284596 -0.17535252591420658
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.438818123039948 -2.8252660718341076 -1.3204815051033734
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.518299652049762 -0.6267987919074756 -0.9474419195884991
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.4384551205737073 -2.908937383901872 -1.5138065248885084
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.3502413073745134 -1.965904441254878 -1.6561218361197234
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.4263230554988144 -1.891383392089125 -0.1482593638402534
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.3477047336717956 -4.248431032286078 -1.6738084123895476
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.2795983093914827 -0.44412407879431726 -0.9918724590930026
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.3584743329039433 -1.508590922541913 -0.34841808037562316
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.430603345912979 -2.5991341881307335 -0.5086374369127356
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.3224652856630077 -0.9821935441742937 -0.9631165413129992
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.2466972928788183 -2.3113612952280107 -0.9430586197436668
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.35635699707965 -2.577422945359615 -0.4423835542112329
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.274657739593785 -3.5001718293249553 -2.1292053049753576
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.177728211406072 -2.7510643230860126 -0.30170425615453667
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.100349735884658 -1.932111023314917 -0.7105023467646845
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.187528336916095 -0.7351745013673963 -3.3586599366105645
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.270320067288853 -3.4222919578472215 -2.270584471741003
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.187203585451491 0.21751409922310927 -2.004404511331103
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.098505129236404 -1.8686284390171863 -3.552039516003873
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.196763584962736 -0.7915660713197212 -1.455780729063818
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.1169061696870504 -2.78295025950041 -1.8745187245714732
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -2.0359145568966652 -3.9255079677230924 -3.5656141627343487
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.127388946076784 -2.137104214057473 -1.3293806909902912
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -2.0434099651616124 -1.410972503042018 -2.148075957173262
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.994759754935723 -1.4958215957203151 1.094813904591419
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.931861889222544 -0.42293627949547385 -3.3300875559070136
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.8422086728427045 -2.6610613435925927 -1.9576023312157247
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.7723235428960384 -3.1045725135729754 -4.005809133669246
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.6799355619086083 -4.041054376199298 -0.46706378319946396
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.5825538255017606 -1.3547773634857947 -1.9450228611730154
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.6547658632286255 -1.4976978487137842 -1.8167624200278425
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.5681647886189547 -0.281849279776651 -2.374331808177587
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.6443559026753658 -0.41692869155446033 -1.8670750816141748
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.5256382535048714 -1.3139848817464497 -3.622875540035693
{'forward': 0.5, 'lateral': 0.0, 'rotation': -0.5, 'grasper': 0} -1.4377193446253997 0.7515665240628664 -2.8470747609907505
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.5372887358489133 0.6403618080056788 -3.361219100633818
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.4402260580201507 -0.9424721520977641 -4.5581096820152
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.3488615572386677 1.6517457589968103 -3.616223781893652
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.2608618695046456 0.6231130731226528 -1.448797443201201
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.1718419535487326 -0.43687906997612913 -0.44415685225497725
{'forward': 0.5, 'lateral': 0.0, 'rotation': 0.5, 'grasper': 0} -1.0855574376017145 0.3400490153170779 -3.402060631928755
